2020-12-18 13:12:247 INFO  BrowserSelector :42 - Launching Chrome Browser
2020-12-18 13:12:898 INFO  HomePage :40 - Clicking on form Authentication FeatureProxy element for: DefaultElementLocator 'By.linkText: Form Authentication'
2020-12-18 13:12:871 INFO  BrowserSelector :42 - Launching Chrome Browser
2020-12-18 13:12:562 INFO  BrowserSelector :42 - Launching Chrome Browser
2020-12-18 13:12:887 INFO  BrowserSelector :42 - Launching Chrome Browser
2020-12-18 13:12:475 INFO  HomePage :40 - Clicking on form Authentication FeatureProxy element for: DefaultElementLocator 'By.linkText: Form Authentication'
2020-12-18 13:12:522 INFO  HomePage :33 - Getting Login text message[[ChromeDriver: chrome on WINDOWS (f10f046a338ac36c152c8adf06802b28)] -> xpath: //h2[contains(text(),'Login Page')]]
2020-12-18 14:12:395 INFO  BrowserSelector :42 - Launching Chrome Browser
2020-12-18 14:12:688 INFO  HomePage :40 - Clicking on form Authentication FeatureProxy element for: DefaultElementLocator 'By.linkText: Form Authentication'
2020-12-18 14:12:744 INFO  HomePage :76 - Getting Login text message[[ChromeDriver: chrome on WINDOWS (efde3899d2e133dd35fdfc9015dc0370)] -> xpath: //h2[contains(text(),'Login Page')]]
2020-12-18 14:12:648 INFO  BrowserSelector :42 - Launching Chrome Browser
2020-12-18 14:12:408 INFO  BrowserSelector :42 - Launching Chrome Browser
2020-12-18 14:12:549 INFO  BrowserSelector :42 - Launching Chrome Browser
2020-12-18 14:12:927 INFO  BrowserSelector :42 - Launching Chrome Browser
2020-12-18 14:12:831 INFO  BrowserSelector :42 - Launching Chrome Browser
2020-12-18 14:12:904 INFO  BrowserSelector :42 - Launching Chrome Browser
2020-12-18 14:12:919 INFO  HomePage :40 - Clicking on form Authentication FeatureProxy element for: DefaultElementLocator 'By.linkText: Form Authentication'
2020-12-18 14:12:998 INFO  HomePage :76 - Getting Login text message[[ChromeDriver: chrome on WINDOWS (6c8a0d064203ec5d71f2ea8b86e90b0a)] -> xpath: //h2[contains(text(),'Login Page')]]
2020-12-18 14:12:932 INFO  BrowserSelector :42 - Launching Chrome Browser
2020-12-18 14:12:860 INFO  HomePage :40 - Clicking on form Authentication FeatureProxy element for: DefaultElementLocator 'By.linkText: Form Authentication'
2020-12-18 14:12:108 INFO  HomePage :49 - Entering UsernametomsmithOn username Field[[ChromeDriver: chrome on WINDOWS (04ac1a6de50892082e6b4bab7ee480d0)] -> xpath: //input[@id='username']]
2020-12-18 14:12:309 INFO  HomePage :55 - Entering Password 1234@On Password Field [[ChromeDriver: chrome on WINDOWS (04ac1a6de50892082e6b4bab7ee480d0)] -> xpath: //input[@id='password']]
2020-12-18 14:12:159 INFO  HomePage :61 - Clicking on Login Button [[ChromeDriver: chrome on WINDOWS (04ac1a6de50892082e6b4bab7ee480d0)] -> xpath: //i[contains(text(),'Login')]]
2020-12-18 14:12:209 INFO  HomePage :66 - Getting Login error message[[ChromeDriver: chrome on WINDOWS (04ac1a6de50892082e6b4bab7ee480d0)] -> xpath: //div[@id='flash']]
2020-12-18 14:12:51 INFO  BrowserSelector :42 - Launching Chrome Browser
2020-12-18 14:12:716 INFO  HomePage :40 - Clicking on form Authentication FeatureProxy element for: DefaultElementLocator 'By.linkText: Form Authentication'
2020-12-18 14:12:20 INFO  HomePage :49 - Entering UsernametomsmithOn username Field[[ChromeDriver: chrome on WINDOWS (33a9e5126114330d9bcd07262c6bdb8a)] -> xpath: //input[@id='username']]
2020-12-18 14:12:191 INFO  HomePage :55 - Entering Password 123fghem@On Password Field [[ChromeDriver: chrome on WINDOWS (33a9e5126114330d9bcd07262c6bdb8a)] -> xpath: //input[@id='password']]
2020-12-18 14:12:823 INFO  HomePage :61 - Clicking on Login Button [[ChromeDriver: chrome on WINDOWS (33a9e5126114330d9bcd07262c6bdb8a)] -> xpath: //i[contains(text(),'Login')]]
